iter	Passed	Remaining
315	621	1346
316	623	1342
317	624	1338
318	625	1335
319	627	1332
320	628	1329
321	629	1325
322	631	1322
323	632	1319
324	633	1315
325	634	1312
326	635	1308
327	637	1305
328	638	1301
329	639	1299
330	641	1295
331	642	1292
332	643	1289
333	644	1285
334	645	1282
335	646	1278
336	647	1274
337	649	1271
338	650	1267
339	651	1264
340	652	1260
341	653	1258
342	655	1254
343	656	1251
344	657	1247
345	658	1244
346	659	1241
347	660	1237
348	661	1234
349	662	1230
350	663	1227
351	665	1224
352	666	1220
353	667	1217
354	668	1215
355	669	1211
356	670	1208
357	671	1205
358	672	1201
359	673	1198
360	675	1194
361	676	1191
362	677	1188
363	678	1184
364	679	1181
365	680	1178
366	681	1174
367	682	1172
368	683	1169
369	684	1165
370	685	1162
371	686	1159
372	688	1156
373	689	1153
374	690	1150
375	691	1147
376	692	1143
377	693	1140
378	694	1137
379	695	1134
380	696	1131
381	698	1129
382	699	1126
383	700	1123
384	701	1120
385	702	1117
386	703	1113
387	704	1110
388	705	1107
389	706	1104
390	707	1101
391	708	1098
392	709	1095
393	710	1093
394	712	1090
395	713	1087
396	714	1085
397	715	1082
398	716	1079
399	717	1076
400	718	1073
401	719	1070
402	720	1067
403	721	1064
404	722	1061
405	724	1059
406	725	1056
407	726	1053
408	727	1051
409	728	1048
410	729	1045
411	730	1042
412	731	1040
413	733	1037
414	734	1034
415	735	1032
416	736	1030
417	738	1028
418	740	1026
419	741	1023
420	742	1021
421	743	1018
422	744	1016
423	746	1013
424	747	1010
425	748	1008
426	749	1005
427	750	1002
428	751	1000
429	752	998
430	753	995
431	754	992
432	755	989
433	757	987
434	758	984
435	759	981
436	760	979
437	761	976
438	762	973
439	763	971
440	764	968
441	765	966
442	766	963
443	767	961
444	768	958
445	769	956
446	770	953
447	772	951
448	773	948
449	774	946
450	775	944
451	776	941
452	778	939
453	779	938
454	781	936
455	782	933
456	784	931
457	785	929
458	786	926
